batchId,duration,messages,bytes,messagesThroughput,bytesThroughput,latency0Ms,latency1Ms,numberOfPartitions,consumerFetchMinBytes,consumerFetchMaxWaitMs,consumerMaxPollRecords,messageSize
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1009,10,10000,9.910802775024777,9910.802775024777,0.25622120000000004,5716.0,1,1,1,1,1000
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1008,10,10000,9.920634920634921,9920.63492063492,0.2542435,6724.9,1,1,1,1,1000
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1008,10,10000,9.920634920634921,9920.63492063492,0.22920469999999998,7733.1,1,1,1,1,1000
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1009,10,10000,9.910802775024777,9910.802775024777,0.298433,8741.5,1,1,1,1,1000
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1012,10,10000,9.881422924901186,9881.422924901186,0.3231836,9751.0,1,1,1,1,1000
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1010,10,10000,9.900990099009901,9900.990099009901,0.3992321,10763.6,1,1,1,1,1000
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1009,10,10000,9.910802775024777,9910.802775024777,0.31528989999999996,11773.8,1,1,1,1,1000
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1009,10,10000,9.910802775024777,9910.802775024777,0.28754409999999997,12783.8,1,1,1,1,1000
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1009,10,10000,9.910802775024777,9910.802775024777,0.2909338,13791.9,1,1,1,1,1000
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1010,10,10000,9.900990099009901,9900.990099009901,0.2369942,14801.5,1,1,1,1,1000
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1008,10,10000,9.920634920634921,9920.63492063492,0.31612090000000004,15811.2,1,1,1,1,1000
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1006,10,10000,9.940357852882704,9940.357852882704,0.20936209999999997,16818.5,1,1,1,1,1000
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1010,10,10000,9.900990099009901,9900.990099009901,0.30858820000000003,17827.3,1,1,1,1,1000
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1008,10,10000,9.920634920634921,9920.63492063492,0.2583281,18835.7,1,1,1,1,1000
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1009,10,10000,9.910802775024777,9910.802775024777,0.22336809999999999,19843.9,1,1,1,1,1000
2ae08ab3-1ad8-4583-b8fb-179b0058731d,1007,10,10000,9.930486593843098,9930.486593843098,0.28183790000000003,20853.3,1,1,1,1,1000
